match_id,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,xG_home,xG_away,result,elo_home,elo_away,elo_diff
12651018,4.7043478260869565,7.224760076775433,2.14,6.0,4.6761904761904765,6.520591039084844,1.06,1.0,2024-08-26,135864,PSM Makassar,383891,Dewa United FC,3.0,1.0,36.0,64.0,230.0,469.0,163.0,385.0,21.0,13.0,41.0,40.0,20.0,15.0,3.0,3.0,22.0,6.0,3.0,8.0,12.0,7.0,0.0,0.0,2.133531,1.070959,H,1515.0,1500.6471999915343,14.352800008465692
12651015,4.365217391304348,7.243317073170733,2.34,4.0,4.639130434782608,6.689296046287368,1.3,0.0,2024-08-27,189945,Borneo FC Samarinda,64299,Bali United FC,2.0,0.0,62.0,38.0,415.0,202.0,355.0,141.0,8.0,21.0,39.0,38.0,20.0,11.0,5.0,4.0,15.0,11.0,5.0,4.0,18.0,16.0,0.0,1.0,2.3413259,1.306496,H,1529.3528000084657,1528.7080052393337,0.6447947691319769
12651019,,,,,,,,,2024-09-11,64299,Bali United FC,47465,Arema FC,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,D,1513.735843235313,1486.883708059378,26.852135175935018
12651021,5.336842105263158,6.86615087040619,0.8099999999999999,4.0,4.621739130434783,6.700574162679425,1.59,1.0,2024-09-11,383891,Dewa United FC,189471,PSIS Semarang,2.0,1.0,48.0,52.0,382.0,353.0,317.0,289.0,12.0,28.0,33.0,44.0,16.0,7.0,2.0,5.0,15.0,12.0,5.0,6.0,7.0,14.0,3.0,2.0,0.813747,1.582487,H,1486.2665079213741,1514.3528000084657,-28.08629208709158
12651024,4.165217391304347,6.8147859922179,0.2,0.0,4.590909090909091,6.771567672833496,0.53,0.0,2024-09-11,135864,PSM Makassar,64289,Persib Bandung,0.0,0.0,48.0,52.0,252.0,308.0,176.0,232.0,15.0,8.0,34.0,42.0,10.0,15.0,2.0,2.0,18.0,11.0,4.0,3.0,18.0,10.0,0.0,3.0,0.202834,0.528291,D,1529.3806920701602,1513.116291940622,16.264400129538217
12651027,5.127272727272727,7.149566055930569,1.0900000000000003,4.0,4.621739130434783,6.679094412331407,0.48,2.0,2024-09-12,266861,PSBS Biak,64295,Persija Jakarta,3.0,1.0,46.0,54.0,304.0,492.0,237.0,421.0,27.0,13.0,42.0,32.0,20.0,12.0,3.0,2.0,25.0,16.0,5.0,5.0,13.0,13.0,1.0,0.0,1.082385,0.4801726,H,1470.6471999915343,1528.0679852927874,-57.42078530125309
12651023,5.228571428571428,6.886493987049028,1.55,0.0,4.665217391304347,7.015,2.07,2.0,2024-09-12,204733,PSS Sleman,189945,Borneo FC Samarinda,1.0,1.0,49.0,51.0,405.0,372.0,325.0,313.0,17.0,11.0,42.0,32.0,17.0,13.0,1.0,3.0,20.0,13.0,1.0,4.0,10.0,8.0,3.0,3.0,1.5567684,2.072615,D,1455.0557796405628,1544.3249620124864,-89.26918237192353
12653691,4.534782608695653,7.011241446725318,1.2000000000000002,3.0,4.5956521739130425,6.593457031250001,1.0,2.0,2024-09-13,491968,Malut United FC,86066,Semen Padang FC,2.0,1.0,59.0,41.0,467.0,340.0,399.0,288.0,31.0,18.0,47.0,25.0,13.0,15.0,4.0,2.0,17.0,25.0,4.0,3.0,9.0,14.0,2.0,2.0,1.202381,1.014387,H,1500.6192581541156,1486.2362151201035,14.38304303401219
12651026,4.143478260869565,6.682125603864734,2.47,4.0,4.686956521739129,6.83070342205323,1.1800000000000002,3.0,2024-09-14,86542,PS Barito Putera,135866,Persik Kediri,2.0,2.0,46.0,54.0,281.0,354.0,227.0,304.0,20.0,14.0,45.0,29.0,5.0,8.0,7.0,1.0,19.0,8.0,3.0,3.0,12.0,16.0,1.0,2.0,2.4726172,1.179447,D,1486.2386115690294,1500.0279418374187,-13.789330268389222
12651022,4.786956521739131,6.92552380952381,1.9400000000000004,0.0,5.045,6.800771456123433,0.4,1.0,2024-09-14,86576,Persita Tangerang,76319,Persebaya Surabaya,0.0,1.0,65.0,35.0,452.0,228.0,384.0,158.0,12.0,7.0,46.0,28.0,13.0,14.0,5.0,1.0,14.0,14.0,5.0,3.0,10.0,22.0,0.0,0.0,1.9319791,0.40476,A,1528.6802751485857,1528.7613884309706,-0.08111328238487658
12657423,4.647826086956521,6.71531100478469,2.29,0.0,4.0,7.109724950884087,0.68,2.0,2024-09-15,135864,PSM Makassar,47465,Arema FC,0.0,1.0,50.0,50.0,277.0,326.0,199.0,254.0,15.0,18.0,27.0,40.0,17.0,19.0,2.0,2.0,4.0,27.0,3.0,0.0,10.0,8.0,1.0,2.0,2.30092,0.6887079999999998,A,1528.6790139555771,1488.0407051729449,40.63830878263229
12651030,4.395652173913043,6.750237416904084,1.36,3.0,3.9409090909090905,6.676134122287968,0.29,1.0,2024-09-15,64289,Persib Bandung,189471,PSIS Semarang,2.0,1.0,57.0,43.0,443.0,300.0,373.0,228.0,17.0,15.0,33.0,37.0,15.0,18.0,4.0,0.0,7.0,18.0,4.0,1.0,19.0,10.0,0.0,1.0,1.347992,0.28692,H,1513.817970055205,1498.142851796155,15.675118259050123
12651028,4.895652173913044,7.116098484848485,1.38,0.0,5.165000000000001,7.010414657666344,0.17,0.0,2024-09-16,64299,Bali United FC,204733,PSS Sleman,0.0,0.0,54.0,46.0,373.0,259.0,313.0,210.0,20.0,16.0,45.0,36.0,8.0,17.0,5.0,0.0,15.0,26.0,15.0,4.0,12.0,15.0,1.0,1.0,0.017232,0.0,D,1512.5788461217462,1458.8272104242155,53.75163569753067
12651033,4.260869565217392,7.06335952848723,0.56,0.0,5.105263157894737,6.9715686274509805,0.99,0.0,2024-09-16,64295,Persija Jakarta,383891,Dewa United FC,0.0,0.0,46.0,54.0,398.0,444.0,334.0,381.0,10.0,6.0,39.0,45.0,3.0,13.0,4.0,2.0,8.0,2.0,7.0,5.0,17.0,12.0,2.0,0.0,0.5584549999999999,0.978787,D,1510.611257995026,1502.476456133685,8.134801861341202
12651031,4.534782608695654,6.999999999999999,1.0,3.0,4.456521739130435,6.893805309734513,2.15,2.0,2024-09-17,266861,PSBS Biak,86578,Madura United FC,2.0,1.0,48.0,52.0,340.0,392.0,271.0,342.0,10.0,5.0,42.0,35.0,6.0,6.0,3.0,2.0,21.0,13.0,5.0,4.0,17.0,10.0,0.0,1.0,0.9962849999999998,2.1547,H,1488.1039272892956,1470.67252485988,17.431402429415584
12651032,4.095652173913044,7.309163346613546,1.4300000000000002,2.0,4.595652173913044,6.640766208251473,0.48,0.0,2024-09-17,189945,Borneo FC Samarinda,491968,Malut United FC,1.0,0.0,72.0,28.0,617.0,235.0,541.0,181.0,14.0,7.0,38.0,36.0,8.0,9.0,1.0,2.0,4.0,10.0,6.0,1.0,15.0,9.0,2.0,1.0,1.426289,0.476994,H,1540.5535312288337,1514.998646758325,25.55488447050857
12650967,4.517391304347826,6.9172413793103456,2.4,1.0,4.6130434782608685,6.685283018867924,0.46,3.0,2024-09-18,86066,Semen Padang FC,86542,PS Barito Putera,1.0,2.0,64.0,36.0,392.0,179.0,329.0,137.0,25.0,3.0,49.0,22.0,7.0,13.0,3.0,1.0,9.0,41.0,2.0,4.0,11.0,16.0,0.0,0.0,2.4098352000000003,0.4599,A,1471.856826515894,1486.8336324182164,-14.97680590232244
12650962,,,,,,,,,2024-09-18,135866,Persik Kediri,86576,Persita Tangerang,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,H,1499.4329209882317,1513.6837770904258,-14.25085610219412
12650970,6.891666666666666,6.921021021021021,2.26,3.0,4.977272727272728,6.889595375722544,1.17,2.0,2024-09-18,76319,Persebaya Surabaya,200020,Persis Solo,2.0,1.0,46.0,54.0,296.0,331.0,230.0,266.0,6.0,10.0,41.0,35.0,6.0,15.0,4.0,2.0,7.0,17.0,5.0,3.0,12.0,15.0,0.0,1.0,2.2656910000000003,1.1621065000000002,H,1543.7578864891304,1456.9320147072126,86.82587178191784
12650975,4.808695652173912,6.975533980582524,0.82,0.0,5.065,6.854011741682974,0.45,0.0,2024-09-20,135864,PSM Makassar,189471,PSIS Semarang,0.0,0.0,51.0,49.0,301.0,269.0,230.0,215.0,28.0,10.0,42.0,35.0,10.0,14.0,4.0,1.0,9.0,33.0,10.0,5.0,14.0,11.0,3.0,1.0,0.816718,0.4420199999999999,D,1511.9324747644491,1483.8191422489213,28.113332515527873
12650971,4.800000000000002,7.012237093690249,0.6699999999999999,4.0,4.7043478260869565,6.784034416826004,2.49,1.0,2024-09-20,204733,PSS Sleman,47465,Arema FC,3.0,1.0,39.0,61.0,252.0,412.0,204.0,363.0,19.0,11.0,37.0,42.0,16.0,13.0,0.0,7.0,27.0,7.0,3.0,9.0,18.0,12.0,0.0,0.0,0.6776399999999999,2.4871203,H,1461.1295157098937,1504.7872443640729,-43.65772865417921
12653692,4.6173913043478265,6.6218984962406005,0.89,2.0,4.243478260869565,6.9879923150816525,1.37,4.0,2024-09-21,491968,Malut United FC,64299,Bali United FC,1.0,4.0,55.0,45.0,340.0,314.0,276.0,248.0,20.0,13.0,44.0,37.0,14.0,8.0,4.0,4.0,17.0,9.0,5.0,2.0,16.0,16.0,0.0,0.0,0.8771040000000001,1.364931,A,1501.0999544909027,1510.276540836068,-9.176586345165333
12650977,5.074999999999998,6.8150608044901775,1.76,3.0,4.5260869565217385,6.997097378277154,2.18,5.0,2024-09-21,383891,Dewa United FC,86578,Madura United FC,3.0,3.0,57.0,43.0,529.0,386.0,467.0,322.0,7.0,21.0,28.0,45.0,12.0,13.0,2.0,2.0,14.0,11.0,1.0,3.0,12.0,7.0,2.0,3.0,1.7602,2.1840580000000003,D,1502.8275995976112,1456.4244681760229,46.40313142158834
12650974,4.252173913043478,6.992961876832845,1.03,1.0,4.639130434782608,6.68144927536232,0.23,0.0,2024-09-22,86576,Persita Tangerang,86066,Semen Padang FC,1.0,0.0,56.0,44.0,390.0,315.0,333.0,250.0,11.0,15.0,34.0,39.0,22.0,12.0,3.0,1.0,20.0,15.0,3.0,6.0,10.0,18.0,2.0,2.0,1.024136,0.235516,H,1498.0688629833662,1457.5030269990439,40.56583598432235
12650980,4.856521739130436,6.9884615384615385,0.99,0.0,4.43157894736842,7.021791044776119,0.65,2.0,2024-09-22,266861,PSBS Biak,76319,Persebaya Surabaya,0.0,1.0,60.0,40.0,429.0,225.0,344.0,164.0,28.0,15.0,45.0,34.0,14.0,27.0,3.0,1.0,9.0,37.0,6.0,5.0,10.0,10.0,1.0,2.0,0.99322,0.65462,A,1502.3519839731528,1555.0854468447908,-52.73346287163804
