,match_id,match_date,homeTeam_name,awayTeam_name,pi_rating_home,pi_rating_away,possession_home_last3_mean,possession_away_last3_mean,xG_home_last3_mean,xG_away_last3_mean,goal_contrib_home_last3_mean,goal_contrib_away_last3_mean,interceptions_home_last3_mean,interceptions_away_last3_mean,passes_home_last3_mean,passes_away_last3_mean,dribblesPct_home_last3_mean,dribblesPct_away_last3_mean,corners_home_last3_mean,corners_away_last3_mean,avg_rating_home_last3_mean,avg_rating_away_last3_mean,weighted_rating_home_last3_mean,weighted_rating_away_last3_mean
41,12650962,2024-09-18,Persik Kediri,Persita Tangerang,-0.005582240634880052,0.06864979932493603,61.5,43.5,0.8535925000000001,0.6213495,1.0,1.5,14.5,14.5,428.5,292.0,14.0,14.0,2.0,3.0,4.723913043478261,4.504347826086957,6.8416880703667555,6.981162870945479
42,12650970,2024-09-18,Persebaya Surabaya,Persis Solo,0.2010447265221033,-0.24112547553087277,57.5,50.0,2.453577,1.529647,1.5,0.5,10.0,20.5,376.5,318.0,11.5,16.0,5.0,4.5,6.02326923076923,4.750296442687748,7.126734758747994,6.704971833325782
44,12650975,2024-09-20,PSM Makassar,PSIS Semarang,0.11059475679105574,-0.07740895105390003,44.666666666666664,46.0,1.5457616666666667,0.6389723333333334,2.0,1.0,15.666666666666666,16.0,253.0,328.6666666666667,17.0,19.333333333333332,3.3333333333333335,3.0,4.505797101449275,4.262911725955203,6.918285691259341,6.780268615314334
43,12650971,2024-09-20,PSS Sleman,Arema FC,-0.16445811687741846,0.024389388281684993,47.5,47.0,1.1626942,0.7836414999999999,0.0,2.0,13.5,18.0,354.5,280.0,12.0,18.5,3.0,2.5,5.021103896103896,4.071739130434783,6.761299923581225,6.990196454144851
46,12653692,2024-09-21,Malut United FC,Bali United FC,0.003616665922473644,0.04614995223400412,50.0,37.5,1.699706,1.1324045,1.5,2.0,15.5,17.5,387.5,217.5,23.0,19.0,5.0,4.5,4.671739130434783,4.715217391304348,6.991328087703745,6.815441522187661
45,12650977,2024-09-21,Dewa United FC,Madura United FC,0.008790938324278677,-0.20613142654986455,55.5,57.0,1.8643735000000001,1.9095845000000002,4.0,1.0,13.5,11.5,465.0,455.5,10.5,8.5,5.5,3.0,4.847966507177033,4.480434782608696,6.900299844651913,6.901795022773323
47,12650974,2024-09-22,Persita Tangerang,Semen Padang FC,-0.008594227143102515,-0.26000765506324197,47.0,41.5,1.04172105,0.863326,0.0,1.0,16.0,17.0,343.0,305.0,16.5,14.5,3.5,1.5,4.778260869565218,4.486956521739129,6.945202096149465,6.662706883373279
48,12650980,2024-09-22,PSBS Biak,Persebaya Surabaya,-0.010879924834217514,0.24802936704768766,47.0,47.0,1.039335,0.7270135,3.5,0.5,13.0,14.5,322.0,316.5,18.5,12.0,5.0,5.5,4.83102766798419,4.912976190476191,7.0747830279652835,6.97946686198156
49,12650973,2024-09-23,Persis Solo,Persik Kediri,-0.2881101160564571,0.0716617858331585,57.0,54.0,1.34659,1.8032685000000002,0.0,3.5,8.0,11.5,424.0,344.5,21.0,15.0,9.0,2.5,4.508695652173912,4.539130434782608,6.944077669902912,7.02517830062199
50,12650979,2024-09-23,Persib Bandung,Persija Jakarta,0.16899217436693414,0.043455484768903825,51.0,62.5,1.3556416666666664,0.5715773,4.0,1.0,14.666666666666666,13.5,370.3333333333333,573.0,21.333333333333332,17.0,4.333333333333333,6.5,4.489855072463768,4.632608695652175,6.930530210347431,6.943633744627242
51,12650978,2024-09-23,PS Barito Putera,Borneo FC Samarinda,-0.022537671451750344,0.31244757545977114,42.0,58.666666666666664,1.5698051,1.2932423333333334,2.5,3.6666666666666665,10.5,16.666666666666668,303.0,466.6666666666667,17.5,13.666666666666666,2.0,4.666666666666667,4.158695652173915,4.875635234330886,6.807417481735323,7.161709735917488
52,12650976,2024-09-26,PSIS Semarang,Arema FC,-0.053459936683021,-0.0797463510509297,54.5,55.5,0.7885523999999999,1.5879141499999998,0.5,1.5,13.0,16.0,391.0,369.0,13.0,14.5,7.5,4.5,4.5159090909090915,4.352173913043478,6.832943672074107,6.9468796838550455
53,12650981,2024-09-26,PSS Sleman,Malut United FC,-0.06032237754480377,-0.11171028406931564,44.666666666666664,36.0,1.0010094666666667,1.0814344333333334,1.3333333333333333,0.3333333333333333,14.333333333333334,11.666666666666666,320.3333333333333,274.0,14.333333333333334,11.333333333333334,3.0,2.6666666666666665,4.947402597402598,4.660869565217391,6.8449456469509,6.755503740812057
54,12650984,2024-09-27,Bali United FC,PS Barito Putera,0.16147690222579342,0.007473753441282014,56.0,40.333333333333336,1.643303,0.4596015666666666,1.5,1.6666666666666667,11.5,10.333333333333334,387.5,262.0,21.0,7.333333333333333,11.0,3.3333333333333335,4.958695652173914,4.533135704874835,7.271940868040007,6.655729675724295
55,12650982,2024-09-27,Persebaya Surabaya,Dewa United FC,0.3122263489842295,-0.018714873169765226,53.666666666666664,58.666666666666664,2.3909483333333337,1.0957423,2.0,0.3333333333333333,8.666666666666666,14.333333333333334,349.6666666666667,437.0,9.666666666666666,12.0,5.0,5.666666666666667,6.312735042735042,4.743817878028405,7.058163512839003,6.853984795981149
56,12650983,2024-09-28,Persik Kediri,PSBS Biak,0.12620498778738304,-0.07507690677075937,61.5,57.5,0.8535925000000001,1.0371488500000001,1.0,1.0,14.5,16.0,428.5,411.5,14.0,17.0,2.0,5.0,4.723913043478261,4.517391304347827,6.8416880703667555,6.745931848467542
57,12650988,2024-09-28,Madura United FC,Persib Bandung,-0.17862561505582064,0.26456342650524933,54.5,44.5,0.98746,0.7430479999999999,0.5,1.5,11.5,8.0,389.0,319.5,21.5,5.5,3.5,3.0,4.665217391304347,4.720454545454545,6.762851869770109,6.752466668618494
58,12650986,2024-09-29,Semen Padang FC,Persis Solo,-0.32057731166567494,-0.34265331801068166,44.333333333333336,51.333333333333336,1.4806403999999997,1.4071334999999998,1.0,1.0,13.666666666666666,18.666666666666668,298.0,322.3333333333333,15.666666666666666,14.0,2.3333333333333335,4.0,4.328985507246377,4.825955204216075,6.806938177746258,6.766513014124702
59,12650987,2024-09-29,Persija Jakarta,PSM Makassar,-0.05211576736941138,0.0866457424201767,52.666666666666664,0.0,1.523206,0.0,2.0,0.0,9.333333333333334,0.0,465.6666666666667,0.0,9.666666666666666,0.0,5.0,0.0,4.62635046113307,0.0,7.094022766102815,0.0
60,12650985,2024-09-30,Borneo FC Samarinda,Persita Tangerang,0.28243615056673876,0.05197542945933044,67.0,43.5,1.88380745,0.6213495,3.0,1.5,14.0,14.5,516.0,292.0,11.0,14.0,5.5,3.0,4.230434782608697,4.504347826086957,7.276240209892139,6.981162870945479
62,12650989,2024-10-17,PSIS Semarang,Persija Jakarta,-0.12537828964062975,-0.04610740910434402,50.333333333333336,58.666666666666664,0.6261229333333334,0.6651471999999999,1.0,0.6666666666666666,14.0,11.666666666666666,371.6666666666667,486.6666666666667,12.666666666666666,15.333333333333334,5.333333333333333,5.666666666666667,4.498484848484849,4.573913043478261,6.772873282181716,6.791359101735135
61,12650992,2024-10-17,Dewa United FC,Persik Kediri,0.01745132108291361,0.04633364200639084,56.0,50.666666666666664,1.8296489999999999,1.3021481666666668,3.6666666666666665,3.0,13.0,12.333333333333334,486.3333333333333,335.0,9.333333333333334,12.333333333333334,4.0,2.3333333333333335,4.923644338118021,4.599999999999999,6.871886831264668,6.960002780845837
