match_id,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,match_id_1,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,xG_home,xG_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,shotmap_xg_home,shotmap_xg_away,match_id_2,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_id_3,accurate_pass_home,key_pass_home,goals_home,assists_home,xG_home_summary,xA_home,total_pass_home,total_cross_home,defensive_actions_home,accurate_cross_home,accurate_keeper_sweeper_home,accurate_long_balls_home,aerial_duel_home,aerial_lost_home,aerial_won_home,blocked_home,challenge_won_home,contest_won_home,dispossessed_home,error_lead_to_a_shot_home,shots_on_target_home,shots_off_target_home,avg_rating_home_summary,duel_won_home,duel_lost_home,total_tackle_home,total_clearance_home,interceptions_home_summary,minutes_played_home,accurate_pass_away,key_pass_away,goals_away,assists_away,xG_away_summary,xA_away,total_pass_away,total_cross_away,defensive_actions_away,accurate_cross_away,accurate_keeper_sweeper_away,accurate_long_balls_away,aerial_duel_away,aerial_lost_away,aerial_won_away,blocked_away,challenge_won_away,contest_won_away,dispossessed_away,error_lead_to_a_shot_away,shots_on_target_away,shots_off_target_away,avg_rating_away_summary,duel_won_away,duel_lost_away,total_tackle_away,total_clearance_away,interceptions_away_summary,minutes_played_away,result
12654058,2025-03-07,135864,PSM Makassar,76319,Persebaya Surabaya,0.0,1.0,12654058,63.0,37.0,411.0,244.0,299.0,163.0,10.0,4.0,41.0,28.0,12.0,24.0,4.0,6.0,6.0,27.0,0.93,1.43,8.0,4.0,9.0,16.0,1.0,2.0,0.928808,1.4259800000000002,12654058,4.7826086956521738,6.9248543689320394,0.93000000000000016,0,4.445,6.88813056379822,1.42,2,12654058,299,8,0,0,0.93000000000000016,0.67999999999999994,411,17,27,2,0,36,34,19,15,6,2,10,10,3,4,5,4.7826086956521738,69,99,9,6,12,1030,163,7,1,1,1.42,0.67,244,3,58,1,0,26,35,19,16,4,9,4,16,8,3,1,4.445,48,119,7,27,24,1011,A
12654065,2025-03-07,86576,Persita Tangerang,204733,PSS Sleman,1.0,2.0,12654065,56.0,44.0,319.0,241.0,263.0,191.0,17.0,7.0,36.0,36.0,6.0,14.0,3.0,2.0,13.0,33.0,1.92,0.61,12.0,2.0,14.0,12.0,1.0,1.0,1.9206519999999998,0.613351,12654065,4.7043478260869565,6.8937198067632872,1.9200000000000002,1,5.7894736842105257,6.9674733785091973,0.62000000000000011,4,12654065,260,10,1,0,1.9200000000000002,1.1199999999999999,316,18,21,7,0,27,47,20,27,2,2,16,15,2,8,8,4.7043478260869565,68,117,2,13,6,1035,191,8,2,2,0.62000000000000011,0.44000000000000006,240,6,57,5,0,19,40,20,20,3,9,6,8,1,2,5,5.7894736842105257,61,108,10,33,14,1033,A
12654057,2025-03-06,266861,PSBS Biak,189945,Borneo FC Samarinda,1.0,0.0,12654057,44.0,56.0,303.0,390.0,239.0,317.0,33.0,17.0,37.0,31.0,12.0,18.0,2.0,3.0,10.0,18.0,1.16,1.17,5.0,1.0,13.0,13.0,1.0,0.0,1.1647750000000001,1.1739810000000002,12654057,4.6434782608695651,7.1104406130268192,1.17,2,4.6521739130434776,6.7441882804995208,1.1700000000000002,0,12654057,239,9,1,1,1.17,0.67999999999999994,303,18,25,6,0,30,35,20,15,3,9,29,7,1,3,9,4.6434782608695651,67,110,3,10,12,1044,317,6,0,0,1.1700000000000002,0.55,390,12,40,2,0,18,35,22,13,2,21,16,10,2,0,7,4.6521739130434776,62,134,4,18,18,1041,H
12654062,2025-03-06,200020,Persis Solo,64299,Bali United FC,2.0,2.0,12654062,58.0,42.0,307.0,256.0,255.0,188.0,17.0,6.0,41.0,34.0,20.0,10.0,5.0,2.0,15.0,25.0,2.38,1.94,9.0,0.0,8.0,20.0,0.0,3.0,2.3822109000000005,1.937001,12654062,4.8304347826086964,7.0640000000000009,2.3800000000000003,3,3.95,6.7297350343473985,1.9400000000000002,4,12654062,255,10,2,1,2.3800000000000003,1.25,307,23,35,7,0,24,18,11,7,2,4,17,12,3,4,8,4.8304347826086964,46,64,0,15,20,1050,187,7,2,2,1.9400000000000002,0.98,254,7,40,0,0,18,18,7,11,5,10,6,3,1,4,4,3.95,38,71,5,25,10,1019,D
12654060,2025-03-05,64289,Persib Bandung,135866,Persik Kediri,4.0,1.0,12654060,49.0,51.0,299.0,266.0,244.0,216.0,16.0,8.0,43.0,39.0,6.0,7.0,2.0,0.0,10.0,15.0,1.65,0.87,5.0,3.0,13.0,8.0,3.0,0.0,1.6486279000000001,0.86653700000000011,12654060,4.9173913043478263,7.1095419847328243,1.65,8,5.14,6.4488483685220723,0.87,1,12654060,244,12,4,4,1.65,1.2,299,23,22,11,0,19,18,8,10,0,5,15,3,1,11,3,4.9173913043478263,61,80,6,10,6,1048,215,2,1,0,0.87,0.1,264,9,23,4,0,16,18,8,10,2,6,7,9,4,1,3,5.14,50,77,1,15,7,1042,H
12654061,2025-03-05,64295,Persija Jakarta,189471,PSIS Semarang,,,12654061,61.0,39.0,441.0,296.0,370.0,239.0,11.0,20.0,43.0,36.0,11.0,20.0,3.0,3.0,22.0,19.0,2.01,1.17,6.0,10.0,12.0,7.0,2.0,0.0,2.005456,1.172839,12654061,4.6999999999999993,7.284302325581395,2.02,3,5.9388888888888882,6.72200956937799,1.1800000000000002,0,12654061,370,13,2,1,2.02,1.6500000000000001,441,27,36,12,0,18,30,13,17,3,16,10,2,6,7,5,4.6999999999999993,48,63,3,22,11,1032,239,7,0,0,1.1800000000000002,0.88,296,10,39,4,0,22,25,18,7,2,9,18,0,1,4,4,5.9388888888888882,37,64,0,19,20,1045,D
12654063,2025-03-05,383891,Dewa United FC,86066,Semen Padang FC,6.0,0.0,12654063,66.0,34.0,587.0,268.0,532.0,212.0,17.0,10.0,43.0,31.0,11.0,16.0,2.0,1.0,9.0,7.0,2.66,0.01,3.0,4.0,4.0,12.0,1.0,4.0,2.656826,0.00852,12654063,5.7799999999999994,7.48232971372162,2.6500000000000004,9,4.1549999999999994,5.9331954498448809,0.01,0,12654063,532,15,5,4,2.6500000000000004,1.77,587,9,21,4,0,14,18,8,10,1,8,17,4,2,9,5,5.7799999999999994,47,62,1,9,11,1013,209,2,0,0,0.01,0.01,265,8,24,1,0,19,19,12,7,2,14,10,4,7,0,1,4.1549999999999994,34,75,1,7,16,967,H
12657420,2025-03-04,491968,Malut United FC,47465,Arema FC,2.0,1.0,12657420,55.0,45.0,429.0,374.0,367.0,315.0,9.0,12.0,32.0,36.0,17.0,11.0,3.0,4.0,12.0,15.0,1.69,1.76,0.0,5.0,8.0,6.0,1.0,2.0,1.6865769999999998,1.76278,12657420,4.7652173913043478,7.0065686274509815,1.69,3,3.8478260869565215,6.7017733990147788,1.75,2,12657420,366,11,2,1,1.69,0.91,428,21,34,6,0,21,22,12,10,3,11,9,10,4,5,5,4.7652173913043478,41,85,5,12,17,1020,315,10,1,1,1.75,0.95000000000000007,373,7,27,5,0,18,24,14,10,3,4,12,9,1,5,9,3.8478260869565215,46,81,1,15,11,1015,H
12654059,2025-03-03,204733,PSS Sleman,86542,PS Barito Putera,1.0,2.0,12654059,56.0,44.0,469.0,324.0,411.0,266.0,17.0,15.0,34.0,36.0,16.0,16.0,6.0,1.0,9.0,17.0,0.71,1.43,3.0,1.0,12.0,13.0,0.0,0.0,0.705419,1.427909,12654059,4.660869565217391,6.6853307766059453,0.71,2,4.7826086956521738,6.9596727622714152,1.4200000000000002,2,12654059,410,9,1,1,0.71,0.33,468,16,28,7,0,17,23,11,12,1,11,14,6,5,3,4,4.660869565217391,45,87,3,9,16,1043,266,7,2,0,1.4200000000000002,0.46,324,6,42,2,0,24,27,16,11,6,11,15,6,4,6,5,4.7826086956521738,52,92,9,17,16,1039,A
12654052,2025-03-02,64299,Bali United FC,86576,Persita Tangerang,1.0,1.0,12654052,49.0,51.0,250.0,268.0,191.0,209.0,27.0,6.0,43.0,34.0,9.0,26.0,8.0,5.0,17.0,17.0,1.76,2.36,6.0,10.0,12.0,18.0,1.0,0.0,1.7557940000000003,2.355781,12654052,4.4217391304347826,6.85281007751938,1.75,0,4.6913043478260867,6.8048525214081836,2.36,1,12654052,190,8,0,0,1.75,0.94000000000000017,249,21,31,3,0,18,21,14,7,5,2,24,8,2,1,4,4.4217391304347826,60,77,5,17,9,1032,209,6,1,0,2.36,0.85000000000000009,268,7,45,2,0,21,28,10,18,8,15,6,10,3,3,5,4.6913043478260867,51,95,2,17,26,1051,D
