match_id,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,match_id_1,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,xG_home,xG_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,shotmap_xg_home,shotmap_xg_away,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,result
12654052,2025-03-02,64299,Bali United FC,86576,Persita Tangerang,1.0,1.0,12654052,49.0,51.0,250.0,268.0,191.0,209.0,27.0,6.0,43.0,34.0,9.0,26.0,8.0,5.0,17.0,17.0,1.76,2.36,6.0,10.0,12.0,18.0,1.0,0.0,1.7557940000000003,2.355781,4.4217391304347826,6.85281007751938,1.75,0,4.6913043478260867,6.8048525214081836,2.36,1,D
12654051,2025-03-02,189945,Borneo FC Samarinda,200020,Persis Solo,0.0,1.0,12654051,63.0,37.0,431.0,224.0,346.0,171.0,19.0,12.0,42.0,32.0,8.0,13.0,2.0,2.0,13.0,28.0,1.51,0.91,7.0,3.0,18.0,11.0,1.0,1.0,1.5068532,0.90915000000000012,4.8304347826086955,7.0741054613935965,1.5000000000000002,0,5.0454545454545441,7.00244131455399,0.92,1,A
12654055,2025-03-02,86578,Madura United FC,135864,PSM Makassar,1.0,3.0,12654055,53.0,47.0,414.0,326.0,344.0,253.0,25.0,12.0,42.0,32.0,18.0,15.0,4.0,0.0,9.0,15.0,1.24,1.79,3.0,4.0,5.0,12.0,0.0,0.0,1.237636,1.79001,4.41304347826087,6.7212355212355224,1.24,2,4.5434782608695654,7.04415458937198,1.7800000000000002,5,A
12654046,2025-03-01,135866,Persik Kediri,383891,Dewa United FC,1.0,2.0,12654046,59.0,41.0,444.0,375.0,389.0,317.0,26.0,8.0,44.0,31.0,14.0,20.0,10.0,1.0,6.0,19.0,0.85,0.62,6.0,5.0,8.0,14.0,1.0,1.0,0.85316920000000007,0.62410999999999994,4.7695652173913041,6.9005842259006815,0.85000000000000009,2,5.1349999999999989,6.9158560311284045,0.63000000000000012,4,A
12654054,2025-03-01,76319,Persebaya Surabaya,64289,Persib Bandung,4.0,1.0,12654054,45.0,55.0,288.0,370.0,229.0,307.0,17.0,20.0,41.0,37.0,14.0,14.0,7.0,3.0,19.0,22.0,1.45,0.67,7.0,6.0,7.0,7.0,0.0,2.0,1.4515711999999998,0.673279,4.595,7.079296875,1.4300000000000002,5,4.7545454545454549,6.5969523809523816,0.68,2,H
12654056,2025-03-01,86066,Semen Padang FC,266861,PSBS Biak,1.0,1.0,12654056,41.0,59.0,265.0,383.0,210.0,327.0,10.0,13.0,32.0,46.0,9.0,10.0,5.0,3.0,18.0,6.0,1.4,1.62,5.0,1.0,15.0,12.0,1.0,1.0,1.3954350999999998,1.615962,4.5,6.8012707722385146,1.38,2,5.1476190476190462,6.7830357142857132,1.61,1,D
12654050,2025-02-24,47465,Arema FC,189471,PSIS Semarang,2.0,2.0,12654050,48.0,52.0,300.0,355.0,220.0,273.0,21.0,16.0,41.0,31.0,24.0,12.0,2.0,3.0,23.0,13.0,1.69,1.64,8.0,3.0,12.0,15.0,2.0,1.0,1.69089,1.640535,3.6695652173913045,7.0449853943524827,1.6900000000000002,3,4.9555555555555557,6.90655105973025,1.6500000000000001,2,D
12654044,2025-02-24,86542,PS Barito Putera,64299,Bali United FC,3.0,1.0,12654044,48.0,52.0,273.0,308.0,206.0,239.0,13.0,18.0,34.0,41.0,29.0,19.0,3.0,5.0,17.0,14.0,0.88,1.47,2.0,1.0,16.0,4.0,0.0,2.0,0.877567,1.4657117999999998,4.5956521739130425,6.6634741784037566,0.88000000000000012,3,4.3565217391304349,6.6705714285714288,1.46,1,H
12654048,2025-02-23,135864,PSM Makassar,64295,Persija Jakarta,1.0,0.0,12654048,47.0,53.0,304.0,474.0,235.0,390.0,12.0,18.0,36.0,43.0,15.0,18.0,0.0,4.0,22.0,14.0,1.11,0.23,8.0,2.0,11.0,5.0,0.0,1.0,1.1059800000000002,0.22860000000000003,4.2913043478260873,7.1482960077896784,1.11,2,4.89090909090909,6.7382857142857135,0.23,0,H
12657421,2025-02-23,491968,Malut United FC,204733,PSS Sleman,1.0,0.0,12657421,50.0,50.0,347.0,384.0,291.0,317.0,14.0,13.0,35.0,39.0,6.0,16.0,2.0,2.0,14.0,12.0,0.9,0.85,5.0,2.0,14.0,6.0,5.0,1.0,0.897823,0.849607,5.1304347826086953,7.0239109390125849,0.89999999999999991,2,5.905263157894737,6.6488867376573078,0.84,0,H
12654049,2025-02-22,86576,Persita Tangerang,189945,Borneo FC Samarinda,1.0,2.0,12654049,48.0,52.0,343.0,403.0,279.0,336.0,16.0,12.0,39.0,35.0,7.0,8.0,6.0,1.0,13.0,11.0,1.24,1.69,7.0,2.0,10.0,19.0,0.0,3.0,1.238562,1.6867210000000001,4.6217391304347828,6.6769598470363292,1.25,1,4.7391304347826093,6.8724637681159422,1.69,2,A
12654053,2025-02-22,64289,Persib Bandung,86578,Madura United FC,0.0,0.0,12654053,57.0,43.0,419.0,328.0,349.0,272.0,12.0,14.0,38.0,35.0,8.0,17.0,1.0,2.0,8.0,15.0,1.53,0.24,9.0,0.0,11.0,9.0,0.0,0.0,1.5312092000000002,0.24495,3.6913043478260876,7.072011952191235,1.5299999999999998,0,4.4086956521739129,6.7821185617103987,0.25,0,D
12654042,2025-02-21,200020,Persis Solo,86066,Semen Padang FC,1.0,1.0,12654042,60.0,40.0,416.0,275.0,343.0,203.0,16.0,12.0,34.0,34.0,14.0,11.0,7.0,1.0,11.0,30.0,1.43,0.48,10.0,1.0,4.0,18.0,2.0,5.0,1.4294160000000002,0.475896,4.0347826086956511,7.1118627450980387,1.4199999999999997,2,5.0950000000000006,6.8539823008849554,0.47000000000000008,2,D
